municipality,municipality_id,district,district_id,year,typology,layout,transaction_type,value,volume,shape_Length,shape_Area
Abu Dhabi City,41,YAS ISLAND,1330,2023,Other,Undefined,All types,1386179634.000000000000000,10.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Plot,Undefined,All types,345161383.730000019073486,70.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Retail,Undefined,All types,9715000.000000000000000,1.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Villa / Townhouse,Undefined,All types,579701018.120000004768372,159.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,All property types,Undefined,All types,2320757035.849999904632568,240.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Apartment / Duplex,1 bed,All types,1388362994.009999990463257,974.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,All property types,1 bed,All types,1388362994.009999990463257,974.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Apartment / Duplex,2 beds,All types,2071113299.970000028610229,881.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Villa / Townhouse,2 beds,All types,175061725.810000002384186,84.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,All property types,2 beds,All types,2246175025.780000209808350,965.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Apartment / Duplex,3 beds,All types,1225854389.140000104904175,360.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Villa / Townhouse,3 beds,All types,732423095.470000028610229,269.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,All property types,3 beds,All types,1958277484.609999895095825,629.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Apartment / Duplex,4 beds,All types,134408716.000000000000000,26.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Villa / Townhouse,4 beds,All types,921653855.850000023841858,237.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,All property types,4 beds,All types,1056062571.850000023841858,263.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Villa / Townhouse,5 beds,All types,651749864.370000004768372,139.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,All property types,5 beds,All types,651749864.370000004768372,139.000000000000000,23604.657354876042518,28738344.954181831330061
