plot_id,community_id,road_id,allocation_status,construction_status,plot_status,zone_tpss,service_status,area_calculated,development_type,landuse_code,elms_landuse_en,elms_landuse_ar,elms_allocation_en,elms_allocation_ar,sector_tpss,flat_id,gis_id,sector_plot_num,plot_number,community_name_eng,community_name_ara,dev_projectid,dev_far,devcode,max_gfa,municipality_name,district_id,district_name,dev_category,dev_description,elms_parentlanduse_e,elms_parentlanduse_a,created_user,created_date,last_edited_user,last_edited_date,estimatedarea,municipality_id,shape_Length,shape_Area
4381030,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,7416.703422700000374,,,commercial,تجاري,,,YN7,,10004381030,YN7_C9,C9,YN7,ياس شمال 7,2224,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,commercial,تجاري,,,,,,41,350.058219813050869,7421.377592107936835
4381033,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,4934.933392500000082,,,Park/Public Garden,منتزه / حديقة عامة,,,YN7,,10004381033,YN7_G76,G76,YN7,ياس شمال 7,2224,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,publicOpenSpace,مناطق عامة,,,,,,41,455.003960565684963,4938.013074506927296
4381037,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,3296.302593259999867,,,kindergarten,روضة,,,YN7,,10004381037,YN7_P179,P179,YN7,ياس شمال 7,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,publicBuilding,مباني عامة,,,,,,41,230.997908800086691,3298.392141093883311
4381038,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,10210.666797620000580,,,Mosque Jamea,مسجد جامع,,,YN7,,10004381038,YN7_P183,P183,YN7,ياس شمال 7,2224,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,publicBuilding,مباني عامة,,,,,,41,406.903265517783495,10217.138889274301619
4381048,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.156066819999999,,,Bus Station without lay by,محطة حافلات بدون مواقف جانبية,,,YN7,,10004381048,YN7_P251,P251,YN7,ياس شمال 7,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,27.160704498327441,19.168260598278106
4381103,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,204.921189609999999,,,Substation,محطة كهرباء فرعية,,,YN7,,10004381103,YN7_SS47,SS47,YN7,ياس شمال 7,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,57.725599425390783,205.051283642140845
4381104,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,225.640351960000004,,,Military Police Telecommunication Station,محطة شبكةالاتصالات اللاسلكية الخاصةبالجيش والشرطة,,,YN7,,10004381104,YN7_P262,P262,YN7,ياس شمال 7,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,60.400581467098192,225.782370497139368
4381105,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,22199.252815790001478,,,commercial,تجاري,,,YN7,,10004381105,YN7_C10,C10,YN7,ياس شمال 7,2224,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,commercial,تجاري,,,,,,41,651.855355174149508,22213.273284975362913
4381106,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,7202.128535279999596,,,commercial,تجاري,,,YN7,,10004381106,YN7_C11,C11,YN7,ياس شمال 7,2224,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,commercial,تجاري,,,,,,41,344.023296333258145,7206.659622330136699
4381107,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,8955.142599369999516,,,commercial,تجاري,,,YN7,,10004381107,YN7_C12,C12,YN7,ياس شمال 7,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,commercial,تجاري,,,SDE,6/19/2024 13:08:42,,41,399.550755083817478,8960.724339520149442
4381111,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,16384.441943159999937,,,Mosque Jamea,مسجد جامع,,,YN7,,10004381111,YN7_P184,P184,YN7,ياس شمال 7,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,publicBuilding,مباني عامة,,,,,,41,546.674380526213213,16394.678441897209268
4381119,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,2381.875699579999946,,,Non-Recreational Open Space,مساحة مفتوحة لأغراض غير ترفيهية,,,YN7,,10004381119,YN7_P229,P229,YN7,ياس شمال 7,1394,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,publicOpenSpace,مناطق عامة,,,SDE,6/19/2024 13:08:42,,41,347.748843794435970,2383.389891517837896
4381120,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.206963859999998,,,Bus Station without lay by,محطة حافلات بدون مواقف جانبية,,,YN7,,10004381120,YN7_P244,P244,YN7,ياس شمال 7,2224,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,27.253461875837374,19.219218103670549
4381179,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,8764.547876200000246,,,Multi Residential Unit,وحدة سكنية متعددة,,,YN7,,10004381179,YN7_2977,2977,YN7,ياس شمال 7,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,investment,استثماري,,,SDE,6/19/2024 13:08:42,,41,399.583561717460725,8770.009671258470917
4381194,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,notAvailableHaveConsNOC,101091.093338890001178,,,Park - Public Garden,منتزه - حديقة عامة,,,YN7,,10004381194,YN7_G87,G87,YN7,ياس شمال 7,1431,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,recreational,ترفيهي,,,,11/25/2024 3:00:42,,41,1644.424671159699074,101154.712713948887540
