year,municipality,municipality_id,district,district_id,community,community_id,project_id,project_number,project_name,typology,layout,rent_type,lower_rent_value,upper_rent_value,avg_rent_value,lable,shape_Length,shape_Area
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,4 beds,All types,281550.000000000000000,355706.000000000000000,327660.000000000000000,328k,1961.882293480008684,231947.188662939355709
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,4 beds,New,285000.000000000000000,350000.000000000000000,324153.000000000000000,324k,1961.882293480008684,231947.188662939355709
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,4 beds,Renewal,283500.000000000000000,356495.000000000000000,323582.000000000000000,324k,1961.882293480008684,231947.188662939355709
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,All beds,All types,232326.000000000000000,307853.000000000000000,273025.000000000000000,273k,1961.882293480008684,231947.188662939355709
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,All beds,New,234292.500000000000000,301000.000000000000000,269800.500000000000000,270k,1961.882293480008684,231947.188662939355709
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,All beds,Renewal,233991.000000000000000,306963.500000000000000,271135.000000000000000,271k,1961.882293480008684,231947.188662939355709
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,3 beds,All types,178500.000000000000000,232000.000000000000000,205424.000000000000000,205k,2567.184884424713800,141052.836376528342953
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,3 beds,New,219399.000000000000000,230000.000000000000000,212952.000000000000000,213k,2567.184884424713800,141052.836376528342953
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,3 beds,Renewal,178500.000000000000000,228360.000000000000000,199778.000000000000000,200k,2567.184884424713800,141052.836376528342953
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,4 beds,All types,226679.000000000000000,300000.000000000000000,259251.000000000000000,259k,2567.184884424713800,141052.836376528342953
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,4 beds,New,266000.000000000000000,300000.000000000000000,287000.000000000000000,287k,2567.184884424713800,141052.836376528342953
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,4 beds,Renewal,163097.000000000000000,280481.000000000000000,224624.000000000000000,225k,2567.184884424713800,141052.836376528342953
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,All beds,All types,202589.500000000000000,266000.000000000000000,232337.500000000000000,232k,2567.184884424713800,141052.836376528342953
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,All beds,New,242699.500000000000000,265000.000000000000000,249976.000000000000000,250k,2567.184884424713800,141052.836376528342953
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,All beds,Renewal,170798.500000000000000,254420.500000000000000,212201.000000000000000,212k,2567.184884424713800,141052.836376528342953
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,3 beds,All types,178500.000000000000000,232000.000000000000000,205424.000000000000000,205k,2567.184884424713800,141052.836376528342953
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,3 beds,New,219399.000000000000000,230000.000000000000000,212952.000000000000000,213k,2567.184884424713800,141052.836376528342953
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,3 beds,Renewal,178500.000000000000000,228360.000000000000000,199778.000000000000000,200k,2567.184884424713800,141052.836376528342953
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,4 beds,All types,226679.000000000000000,300000.000000000000000,259251.000000000000000,259k,2567.184884424713800,141052.836376528342953
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,4 beds,New,266000.000000000000000,300000.000000000000000,287000.000000000000000,287k,2567.184884424713800,141052.836376528342953
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,4 beds,Renewal,163097.000000000000000,280481.000000000000000,224624.000000000000000,225k,2567.184884424713800,141052.836376528342953
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,All beds,All types,202589.500000000000000,266000.000000000000000,232337.500000000000000,232k,2567.184884424713800,141052.836376528342953
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,All beds,New,242699.500000000000000,265000.000000000000000,249976.000000000000000,250k,2567.184884424713800,141052.836376528342953
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,All beds,Renewal,170798.500000000000000,254420.500000000000000,212201.000000000000000,212k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,3 beds,All types,222191.000000000000000,244331.000000000000000,232033.000000000000000,232k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,3 beds,New,229372.000000000000000,252409.000000000000000,241900.000000000000000,242k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,3 beds,Renewal,192044.000000000000000,235242.000000000000000,213812.000000000000000,214k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,4 beds,All types,239942.000000000000000,360114.000000000000000,298062.000000000000000,298k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,4 beds,New,310151.000000000000000,402896.000000000000000,360227.000000000000000,360k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,4 beds,Renewal,232582.000000000000000,299180.000000000000000,264382.000000000000000,264k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,All beds,All types,231066.500000000000000,302222.500000000000000,265047.500000000000000,265k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,All beds,New,269761.500000000000000,327652.500000000000000,301063.500000000000000,301k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,All beds,Renewal,212313.000000000000000,267211.000000000000000,239097.000000000000000,239k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,3 beds,All types,222191.000000000000000,244331.000000000000000,232033.000000000000000,232k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,3 beds,New,229372.000000000000000,252409.000000000000000,241900.000000000000000,242k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,3 beds,Renewal,192044.000000000000000,235242.000000000000000,213812.000000000000000,214k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,4 beds,All types,239942.000000000000000,360114.000000000000000,298062.000000000000000,298k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,4 beds,New,310151.000000000000000,402896.000000000000000,360227.000000000000000,360k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,4 beds,Renewal,232582.000000000000000,299180.000000000000000,264382.000000000000000,264k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,All beds,All types,231066.500000000000000,302222.500000000000000,265047.500000000000000,265k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,All beds,New,269761.500000000000000,327652.500000000000000,301063.500000000000000,301k,2567.184884424713800,141052.836376528342953
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,Villa / Townhouse,All beds,Renewal,212313.000000000000000,267211.000000000000000,239097.000000000000000,239k,2567.184884424713800,141052.836376528342953
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,3 beds,All types,199454.000000000000000,250000.000000000000000,223884.000000000000000,224k,2567.184884424713800,141052.836376528342953
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,3 beds,New,199454.000000000000000,250000.000000000000000,221187.000000000000000,221k,2567.184884424713800,141052.836376528342953
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,3 beds,Renewal,221156.000000000000000,238201.000000000000000,227120.000000000000000,227k,2567.184884424713800,141052.836376528342953
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1007,2016/179574,YAS Acres- Precinct7,All property types,4 beds,All types,297675.000000000000000,400000.000000000000000,342061.000000000000000,342k,2567.184884424713800,141052.836376528342953
